time,queue_length
0.0,0
25.501507181870025,0
26.51466074357958,0
32.94714202507889,0
43.05058945188343,0
58.8413240020721,0
72.54247798698437,0
73.21483807899206,0
73.75248507527871,0
78.6868189944752,0
79.44049855316266,0
82.08250484553928,0
103.07234486999073,0
104.0082443540158,0
106.84344010912133,0
120.41464510542644,0
134.56551503968677,0
148.5540063450434,0
152.19210252930606,0
181.70876822950535,0
181.96956697167602,0
190.02666995947698,0
196.78612068296778,0
199.20271131638407,0
215.6174685116274,0
217.56412153842655,0
221.63286893825182,0
246.21655485721254,0
265.4256154579668,0
283.24253353545316,0
309.6371400726043,0
316.15713232355836,0
340.1203793788001,0
341.9966809890756,0
342.19926744027487,0
347.16946039601896,0
348.1849882776782,0
360.8346066832062,0
367.4426393286369,0
368.49074954140906,0
375.2071223571366,0
379.89968199111445,1
385.59728052544153,0
387.7525869845465,0
389.8820636747761,0
399.128518679825,0
402.9098068735078,0
408.5324593379746,0
410.07422288556756,0
419.58771654254724,0
422.2012246385003,0
437.84145879393685,0
441.4097028100957,0
451.70982636200665,0
460.49601747786966,0
485.5732340909577,0
493.86484120216596,0
506.45772678507524,0
534.7308644205756,0
540.1290095683536,0
544.033039904926,0
549.6039606573203,0
551.0123058239249,0
562.0687939810566,0
566.8081382584296,0
597.1706573973403,0
599.9733628581272,0
601.8650318201177,0
605.1759480083402,0
606.4810182011458,0
616.9796839897923,0
638.289347281652,0
658.4322205355556,0
663.359923398971,0
681.3329904685679,0
683.9622932017385,0
687.9224113059156,0
694.0768463915259,0
696.1549671705061,0
696.70796731406,0
699.0907306439491,0
705.4046662234334,0
713.7245600128725,0
716.0473531805789,0
738.3557014322108,0
755.5422890671617,0
804.966461464424,0
836.1797818325484,0
837.4924886789782,0
856.7185274769145,0
864.6751261236651,0
877.1625994476681,0
877.4512853904649,0
885.2105633851809,0
900.3263233567894,1
907.2881988616867,0
917.6843257131633,1
926.1836228057355,0
926.5457177587047,1
928.4731626173866,0
962.486546022256,0
962.5008475153287,1
969.2226596980489,0
978.1515145447047,0
980.5171016266521,0
1003.3376675700323,0
1003.4129720565359,0
1015.2425685297918,0
1034.2115378868762,0
1052.1645435572204,0
1057.0194235219535,0
1067.837891513412,0
1069.6309989332613,0
1070.943974283593,0
1071.3373525529894,0
1077.578567753531,0
1085.7533745366595,1
1086.5146638148913,0
1099.5071771748455,1
1101.4954297970653,1
1105.1217625913478,2
1118.4375171164163,1
1119.5325508464637,2
1126.8161401498849,1
1127.9575626141732,0
1129.8480253303449,1
1131.6890027752079,2
1131.726444260108,2
1133.9332557391285,2
1141.7583065000292,1
1143.2211988247795,1
1150.5705476012206,1
1152.9573702601037,1
1155.4490152448845,1
1156.7297841795098,1
1157.1148247762198,0
1177.1959657096063,0
1180.7768017187616,0
1185.7643211148666,0
1186.8042970584902,0
1191.2609164368569,0
1201.2643154617087,0
1202.802564225966,0
1205.3514669962997,0
1237.9993766108976,0
1239.0943395506026,0
1250.8794765703517,0
1253.6274375777257,0
1256.1539509762495,1
1263.3395518826358,2
1264.2165120696425,1
1267.4578503039445,0
1283.320323737715,0
1307.8371941735368,0
1310.4166972688338,0
1315.6469728410077,0
1320.5967689890094,0
1321.0832689442689,0
1322.874181426317,0
1325.596576687281,0
1349.8161453108885,0
1352.2171150808956,0
1365.3060597763479,0
1370.161507463581,0
1377.7003987013825,0
1382.9002267191988,0
1386.782358904647,0
1393.9185532889337,0
1398.6918816874936,0
1411.5563513310349,0
1413.8665026213089,0
1419.0897587842142,0
1426.8714238761033,0
1434.15172908395,1
1435.3205129370738,1
1435.8635420830935,0
1466.4340534718183,0
1477.2326018904382,0
1477.8697382957737,0
1520.7626397463994,0
1522.2342466114335,0
1526.51679090644,1
1549.1156633620753,2
1549.3449724139184,2
1553.489137935924,2
1555.3846709960646,1
1557.3341273966307,0
1604.3629202847012,0
1617.947713152133,0
1623.6597574916925,0
1651.5046993443852,1
1652.9990156608885,0
1653.3874235996286,1
1655.289498737375,2
1667.2658465501438,1
1674.0380224464157,0
1694.1388441584209,0
1705.0983772764282,0
1708.4767747167912,0
1716.8068732245201,0
1718.1577962082995,0
1727.0580922142972,0
1729.4750823847662,0
1753.3325810136769,0
1766.461126838919,0
1779.8637825222766,0
1790.1374837942622,0
1795.8387152293458,0
1807.084444303421,0
1809.9146689910615,0
1827.9067331079768,0
1831.2702978492612,0
1835.1825323285868,0
1841.5265172381846,0
1845.349612351381,0
1846.896545641113,0
1858.2882664274655,0
1860.8738307968267,0
1867.0370525480419,0
1872.0610510126633,0
1872.399972749919,0
1890.4536055679866,0
1897.4026717043469,0
1902.0257141831316,0
1905.2492729443686,0
1911.3543990268793,0
1912.8504020203309,0
1918.3045886003779,0
1924.4677384020015,0
1926.1377938849907,0
1937.4905911603591,0
1942.5987724412666,0
1963.337865607197,0
1969.9209819750886,0
1973.9279528543104,0
1981.2370822406688,0
2005.6032309472153,0
2013.683827821687,0
2020.86020918603,0
2025.7562943710407,0
2033.8979966347526,0
2036.9882934600807,0
2045.21148947793,0
2055.5851844368904,0
2072.492228721795,0
2083.8870963587597,0
2084.5145642583807,0
2089.561951085984,0
2098.787652853985,0
2103.7934647129455,0
2110.6604501438724,0
2117.706048520534,0
2124.064701697197,0
2125.031477368323,0
2134.0339538054327,0
2144.1801480555014,0
2144.2511878543346,0
2163.737050360224,0
2170.0267100556557,0
2171.1715053738844,0
2171.2875709135724,0
2172.8520750883536,0
2175.736206823187,0
2183.4316368821924,0
2209.6875121402763,0
2213.16573415119,0
2219.6346827098746,1
2220.017387586085,0
2220.5365887736257,0
2242.413798303783,0
2245.2790747575445,0
2256.523756520218,0
2274.503756510873,0
2277.419917796608,0
2282.3260027836395,0
2286.1995893177273,0
2286.816881408427,0
2290.174685360261,0
2292.1419103692197,0
2315.2984881891757,0
2327.0816563172903,0
2336.0124627079476,0
2344.0873585204045,0
2360.363400604254,0
2377.897649284056,0
2385.227935643361,0
2387.330418171616,0
2397.4067344873824,0
2413.2947355980373,0
2418.5215911521477,0
2419.0005698472733,0
2430.005712553319,0
2442.1669835401685,0
2442.2093012912756,0
2452.2965930824803,0
2464.631549939508,0
2466.6658687687373,0
2476.074356692085,0
2479.0796507796736,0
2487.663348852059,0
